Bankleitzahl;Merkmal;Bezeichnung;PLZ;Ort;Kurzbezeichnung;PAN;BIC;Prüfzifferberechnungsmethode;Datensatznummer;Änderungskennzeichen;Bankleitzahllöschung;Nachfolge-Bankleitzahl
"10000000";"1";"Bundesbank";"10591";"Berlin";"BBk Berlin";"20100";"MARKDEF1100";"09";"011380";"U";"0";"00000000"
"10010010";"1";"Postbank Ndl der Deutsche Bank";"10559";"Berlin";"Postbank Ndl Deutsche Bank";"10010";"PBNKDEFFXXX";"24";"000538";"U";"0";"00000000"
"10010123";"1";"OLINDA Zweigniederlassung Deutschland";"10245";"Berlin";"Olinda, Berlin";;"QNTODEB2XXX";"09";"057478";"U";"0";"00000000"
"10010178";"1";"Revolut Bank, Zweigniederlassung Deutschland";"10117";"Berlin";"Revolut Bank, Berlin";;"REVODEB2XXX";"09";"057801";"U";"0";"00000000"
"10010200";"1";"Treezor, Berlin";"10785";"Berlin";"Treezor Berlin";"53144";"TRZODEB2XXX";"09";"057742";"U";"0";"00000000"
"10010300";"1";"Klarna Bank German Branch";"10115";"Berlin";"Klarna Bank, Berlin";;"KLRNDEBEXXX";"09";"057482";"U";"0";"00000000"
"10010424";"1";"Aareal Bank";"10666";"Berlin";"Aareal Bank";"26910";"AARBDE5W100";"09";"004795";"U";"0";"00000000"
"10010500";"1";"Noelse Pay";"10719";"Berlin";"Noelse Pay, Berlin";;"AFOPDEB2XXX";"09";"057532";"U";"0";"00000000"
"10010700";"1";"Financiere des Paiements Electroniques NL Deutschland";"10719";"Berlin";"FPE Deutschland";;"FPEGDEB2XXX";"09";"057719";"U";"0";"00000000"
"10011001";"1";"N26 Bank";"10179";"Berlin";"N26 Bank Berlin";;"NTSBDEB1XXX";"09";"056796";"U";"0";"00000000"
"10012345";"1";"Trade Republic Bank";"10119";"Berlin";"Trade Republic Bank, Berlin";;"TRBKDEBBXXX";"09";"057880";"U";"0";"00000000"
"10014000";"1";"Swan Zweigniederlassung Deutschland";"10117";"Berlin";"Swan Zndl Deutschland";;"SWNBDEBBXXX";"09";"057732";"U";"0";"00000000"
"10014001";"1";"Swan Zweigniederlassung Deutschland (Geschäftsfeld)";"10117";"Berlin";"Swan Zndl Deutschland";;"SWNBDEBBXXX";"09";"057733";"U";"0";"00000000"
"10017997";"1";"Holvi Payment Services Zweigniederlassung Deutschland";"10967";"Berlin";"Holvi - Berlin";;"HOLVDEB1XXX";"09";"057364";"U";"0";"00000000"
"10018000";"1";"Finom Payments Zweigniederlassung Deutschland";"10115";"Berlin";"Finom Payments";;"FNOMDEB2XXX";"09";"057823";"U";"0";"00000000"
"10019000";"1";"Adyen, German Branch";"10117";"Berlin";"Adyen Deutschland, Berlin";;"ADYBDEB2XXX";"09";"057856";"U";"0";"00000000"
"10020200";"1";"BHF-BANK";"10117";"Berlin";"BHF-BANK Berlin";"25155";"BHFBDEFF100";"60";"004794";"U";"0";"00000000"
"10020500";"1";"Bank für Sozialwirtschaft";"10178";"Berlin";"Bank für Sozialwirtschaft";"25013";"BFSWDE33BER";"09";"000530";"U";"0";"00000000"
"10020510";"1";"Bank für Sozialwirtschaft";"10178";"Berlin";"Sozialbank Berlin";;"BFSWDE33BER";"09";"056659";"U";"0";"00000000"
"10020520";"1";"Bank für Sozialwirtschaft";"10178";"Berlin";"Sozialbank Berlin";;"BFSWDE33BER";"09";"056662";"U";"0";"00000000"
"10020890";"1";"UniCredit Bank - HypoVereinsbank";"10896";"Berlin";"UniCredit Bank-HypoVereinbk";"22014";"HYVEDEMM488";"99";"039785";"U";"0";"00000000"
"10030200";"1";"Berlin Hyp";"10787";"Berlin";"Berlin Hyp";"26706";"BHYPDEB2XXX";"09";"037413";"U";"0";"00000000"
